Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
23989;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
30061;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32730;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33911;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
34347;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34751;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34800;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35237;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35585;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36156;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37706;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38916;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39095;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39944;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40105;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42174;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46576;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48517;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48962;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
50027;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50151;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50226;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
56342;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57173;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57913;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
60611;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65692;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
65775;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65799;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66402;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66701;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66750;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67618;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67725;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68111;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
70536;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72047;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72686;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74349;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74732;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
76411;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
76862;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
77579;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78107;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
78847;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81224;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81607;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
