Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
314063;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
334355;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
343050;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
349941;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
357820;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
363550;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
376222;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
386677;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
396018;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
403309;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
414063;POLITICA2;TAREFA_CONCLUIDA;51840;1272771;13333;290347;1120425
417169;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
417430;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
418623;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
422207;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
422996;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
422999;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
425678;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
426058;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
427315;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
631948;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
651630;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
660227;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
668166;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
675562;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
683234;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
693901;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
698312;POLITICA3;TAREFA_CONCLUIDA;98928;2332417;7142;580628;2062630
702705;POLITICA3;TAREFA_CONCLUIDA;98928;2332417;7142;580628;2062630
705575;POLITICA2;TAREFA_CONCLUIDA;24502;1272771;26666;290347;1101221
707153;POLITICA3;TAREFA_CONCLUIDA;98928;2332417;7142;580628;2062630
711264;POLITICA3;TAREFA_CONCLUIDA;98928;2332417;7142;580628;2062630
