Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
14835;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
16952;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
19649;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20329;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
23388;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25043;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25351;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25429;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25714;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26195;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26197;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26636;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26842;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26890;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26986;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27748;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28144;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28219;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
28262;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28331;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28414;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28891;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29139;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29238;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29308;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29502;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29692;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
30054;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30195;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30341;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30796;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31192;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31261;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31361;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
31370;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31816;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32170;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32198;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32236;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32245;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32334;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32546;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32713;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32722;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32763;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32879;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33344;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33421;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33515;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
33999;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34308;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34639;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34823;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34874;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35244;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
